item_id,prefix,good_continuation,bad_continuation,category
0,John is thinking about going to see the latest movie or to listen to some famous arias. He would like to hear some great tenors and sopranos.,Therefore he buys tickets for an opera in the city center,Nevertheless he buys tickets for an opera in the city center,causal
1,John is thinking about going to see the latest movie or to listen to some famous arias. He would like to hear some great tenors and sopranos.,Nevertheless he buys tickets for a cinema in the city center,Therefore he buys tickets for a cinema in the city center,concessive
2,Mr. Brown was planning to look for new glasses and shoes today. The glasses really are more urgent.,Therefore he now heads towards an optician that a friend recommended,Nevertheless he now heads towards an optician that a friend recommended,causal
3,Mr. Brown was planning to look for new glasses and shoes today. The glasses really are more urgent.,Nevertheless he now heads towards a shoe shop that a friend recommended,Therefore he now heads towards a shoe shop that a friend recommended,concessive
4,Stan is thinking about jobs; he would like to develop technical things or educate kids in primary school. He thinks he would enjoy difficult technical tasks.,Nevertheless he decides that he wants to become a teacher as soon as possible,Therefore he decides that he wants to become a teacher as soon as possible,concessive
5,Stan is thinking about jobs; he would like to develop technical things or educate kids in primary school. He thinks he would enjoy difficult technical tasks.,Therefore he decides that he wants to become an engineer as soon as possible,Nevertheless he decides that he wants to become an engineer as soon as possible,causal
6,"Little Helen learned about basic math operators in school today, but she feels unsure about whether she has to sum the first number to the second number or deduct it. She should know what the plus sign means.","Nevertheless the operation she attempts to perform is a subtraction, which she still finds difficult to do","Therefore the operation she attempts to perform is a subtraction, which she still finds difficult to do",concessive
7,"Little Helen learned about basic math operators in school today, but she feels unsure about whether she has to sum the first number to the second number or deduct it. She should know what the plus sign means.","Therefore the operation she attempts to perform is an addition, which she still finds difficult to do","Nevertheless the operation she attempts to perform is an addition, which she still finds difficult to do",causal
8,The medication can be provided intravenously or orally in a solid form. The doctor had better experiences with the intravenous version.,Therefore he gives the patient an injection and tells him to make an appointment for next month,Nevertheless he gives the patient an injection and tells him to make an appointment for next month,causal
9,The medication can be provided intravenously or orally in a solid form. The doctor had better experiences with the intravenous version.,Nevertheless he gives the patient a pill and tells him to make an appointment for next month,Therefore he gives the patient a pill and tells him to make an appointment for next month,concessive
10,Bill thinks that he might like going to space or doing action stunts for movies as a future profession. Going to space fascinates him the most.,Therefore he looks for information on how to become an astronaut and gets very excited,Nevertheless he looks for information on how to become an astronaut and gets very excited,causal
11,Bill thinks that he might like going to space or doing action stunts for movies as a future profession. Going to space fascinates him the most.,Nevertheless he looks for information on how to become a stuntman and gets very excited,Therefore he looks for information on how to become a stuntman and gets very excited,concessive
12,Lilly is thinking about giving Mary something for the kitchen: something to protect her clothes while cooking or something to measure the temperature of tea. She has the feeling that Mary may already have something to protect her clothes.,Nevertheless she is getting her an apron from a nearby shop,Therefore she is getting her an apron from a nearby shop,concessive
13,Lilly is thinking about giving Mary something for the kitchen: something to protect her clothes while cooking or something to measure the temperature of tea. She has the feeling that Mary may already have something to protect her clothes.,Therefore she is getting her a thermometer from a nearby shop,Nevertheless she is getting her a thermometer from a nearby shop,causal
14,Emma is wondering about how to dress up for the heaven- or hell-themed costume party. She thinks wearing a lovely white dress and wings could be fun.,Nevertheless she decides to go as a devil and will try to win the costume prize,Therefore she decides to go as a devil and will try to win the costume prize,concessive
15,Emma is wondering about how to dress up for the heaven- or hell-themed costume party. She thinks wearing a lovely white dress and wings could be fun.,Therefore she decides to go as an angel and will try to win the costume prize,Nevertheless she decides to go as an angel and will try to win the costume prize,causal
16,Little Noah is allowed to choose a new toy car either belonging to the hospital set or to the fire fighter set. He is most fascinated by hospital scenarios.,Therefore he really wants to have an ambulance with real electric lights,Nevertheless he really wants to have an ambulance with real electric lights,causal
17,Little Noah is allowed to choose a new toy car either belonging to the hospital set or to the fire fighter set. He is most fascinated by hospital scenarios.,Nevertheless he really wants to have a fire truck with real electric lights,Therefore he really wants to have a fire truck with real electric lights,concessive
18,"Billy has to do some household chores: his shirts are rumpled, and his plants need water. The shirts are most urgent.",Therefore he goes to the locker and takes out an iron after having a coffee,However he goes to the locker and takes out an iron after having a coffee,causal
19,"Billy has to do some household chores: his shirts are rumpled, and his plants need water. The shirts are most urgent.",However he goes to the locker and takes out a watering can after having a coffee,Therefore he goes to the locker and takes out a watering can after having a coffee,concessive
20,Penny is considering what she wants to have for Christmas: a smartphone from Apple or tennis equipment. All her friends have one of these handheld electronic devices.,However she decides to ask her parents for a tennis racket in a modern color,Therefore she decides to ask her parents for a tennis racket in a modern color,concessive
21,Penny is considering what she wants to have for Christmas: a smartphone from Apple or tennis equipment. All her friends have one of these handheld electronic devices.,Therefore she decides to ask her parents for an iPhone in a modern color,However she decides to ask her parents for an iPhone in a modern color,causal
22,The judge needs to make a decision about the accused Mr. Pull. The lawyer has done a great job of showing that Mr. Pull has not done anything wrong.,However the judge comes to the conclusion that Mr. Pull is a guilty man to all appearances,Therefore the judge comes to the conclusion that Mr. Pull is a guilty man to all appearances,concessive
23,The judge needs to make a decision about the accused Mr. Pull. The lawyer has done a great job of showing that Mr. Pull has not done anything wrong.,Therefore the judge comes to the conclusion that Mr. Pull is an innocent man to all appearances,However the judge comes to the conclusion that Mr. Pull is an innocent man to all appearances,causal
24,The authorities are checking whether the girl is allowed to be in the country or not. She does not have the required papers.,Thus the officer writes in his report that she is an illegal immigrant and files the report with his superiors,However the officer writes in his report that she is an illegal immigrant and files the report with his superiors,causal
25,The authorities are checking whether the girl is allowed to be in the country or not. She does not have the required papers.,However the officer writes in his report that she is a valid green card holder and files the report with his superiors,Thus the officer writes in his report that she is a valid green card holder and files the report with his superiors,concessive
26,Pepe wants to buy a mobile but cannot decide whether he should pick one from 3 years ago or get a newer one. His best friend thinks it would be cool to buy a modern one with fancy functions.,Thus he will probably get himself a new one on the Internet,However he will probably get himself a new one on the Internet,causal
27,Pepe wants to buy a mobile but cannot decide whether he should pick one from 3 years ago or get a newer one. His best friend thinks it would be cool to buy a modern one with fancy functions.,However he will probably get himself an old one on the Internet,Thus he will probably get himself an old one on the Internet,concessive
28,All participants have been asked to describe their own personality in terms of their feelings about the future. Massimo always believes that everything will be good.,However he describes himself as a pessimist in order to be as honest as possible,Thus he describes himself as a pessimist in order to be as honest as possible,concessive
29,All participants have been asked to describe their own personality in terms of their feelings about the future. Massimo always believes that everything will be good.,Thus he describes himself as an optimist in order to be as honest as possible,However he describes himself as an optimist in order to be as honest as possible,causal
30,Luisa does not have much modelling clay left to give the fantasy creature upper and lower extremities. Luisa thinks that it is most important that the creature can grab.,However she starts sculpting a leg with the leftover mass,Thus she starts sculpting a leg with the leftover mass,concessive
31,Luisa does not have much modelling clay left to give the fantasy creature upper and lower extremities. Luisa thinks that it is most important that the creature can grab.,Thus she starts sculpting an arm with the leftover mass,However she starts sculpting an arm with the leftover mass,causal
32,The jury initially had difficulty deciding whether to believe Peter's testimony. A second witness later corroborated Peter's testimony.,Thus the jury came to believe that he was an honest man and reached consensus quickly,However the jury came to believe that he was an honest man and reached consensus quickly,causal
33,The jury initially had difficulty deciding whether to believe Peter's testimony. A second witness later corroborated Peter's testimony.,However the jury came to believe that he was a liar and reached consensus quickly,Thus the jury came to believe that he was a liar and reached consensus quickly,concessive
34,"To paint the funny clown, Gerry thinks about mixing yellow with red or yellow with blue. He has a preference for mixing red and yellow.",Thus he decides to give the clown an orange nose with some dots,However he decides to give the clown an orange nose with some dots,causal
35,"To paint the funny clown, Gerry thinks about mixing yellow with red or yellow with blue. He has a preference for mixing red and yellow.",However he decides to give the clown a green nose with some dots,Thus he decides to give the clown a green nose with some dots,concessive
36,Allen observes his new officemate Pete's reaction to long waiting times. Pete seems to easily get nervous when there are delays.,However Allen suspects that Pete is a patient person and works very hard,Thus Allen suspects that Pete is a patient person and works very hard,concessive
37,Allen observes his new officemate Pete's reaction to long waiting times. Pete seems to easily get nervous when there are delays.,Thus Allen suspects that Pete is an impatient person and works very hard,However Allen suspects that Pete is an impatient person and works very hard,causal
38,"In the zoo, little Pam is amazed by the large African animals; the features that particularly fascinate her are the long necks and the long trunks. Back at home, she pretends that her arm is a long trunk.",However the stuffed animal that her parents buy for her birthday is a giraffe with a friendly smile,Thus the stuffed animal that her parents buy for her birthday is a giraffe with a friendly smile,concessive
39,"In the zoo, little Pam is amazed by the large African animals; the features that particularly fascinate her are the long necks and the long trunks. Back at home, she pretends that her arm is a long trunk.",Thus the stuffed animal that her parents buy for her birthday is an elephant with a friendly smile,However the stuffed animal that her parents buy for her birthday is an elephant with a friendly smile,causal
40,Jeff is thinking about a motif for a traditional tattoo on his arm such as a romantic flower or a sailor's symbol. He thinks his girlfriend would find a sailor one manly.,Thus he goes to the tattoo studio to get an anchor tattooed on his upper arm,However he goes to the tattoo studio to get an anchor tattooed on his upper arm,causal
41,Jeff is thinking about a motif for a traditional tattoo on his arm such as a romantic flower or a sailor's symbol. He thinks his girlfriend would find a sailor one manly.,However he goes to the tattoo studio to get a rose tattooed on his upper arm,Thus he goes to the tattoo studio to get a rose tattooed on his upper arm,concessive
42,Today Joe needs to chop wood and water the plants. Chopping wood is the most urgently needed activity.,Therefore he goes to the tool shed and takes out an ax to get started,Nevertheless he goes to the tool shed and takes out an ax to get started,causal
43,Today Joe needs to chop wood and water the plants. Chopping wood is the most urgently needed activity.,Nevertheless he goes to the tool shed and takes out a watering can to get started,Therefore he goes to the tool shed and takes out a watering can to get started,concessive
44,The Japanese teacher asks the exchange students which natural catastrophe frightens them more: a shaking of the ground or a big wave. Carol has heard that it is terrible when the earth shakes.,Nevertheless she replies that the catastrophe that frightens her most is a tsunami like the one she's seen on TV,Therefore she replies that the catastrophe that frightens her most is a tsunami like the one she's seen on TV,concessive
45,The Japanese teacher asks the exchange students which natural catastrophe frightens them more: a shaking of the ground or a big wave. Carol has heard that it is terrible when the earth shakes.,Therefore she replies that the catastrophe that frightens her most is an earthquake like the one she's seen on TV,Nevertheless she replies that the catastrophe that frightens her most is an earthquake like the one she's seen on TV,causal
46,Patrick is thinking about giving his girlfriend a birthday present of jewelry either for her ear or for her finger. She likes to wear jewelry on her left ear.,Nevertheless Patrick decides to get her a ring from the jeweller in town,Therefore Patrick decides to get her a ring from the jeweller in town,concessive
47,Patrick is thinking about giving his girlfriend a birthday present of jewelry either for her ear or for her finger. She likes to wear jewelry on her left ear.,Therefore Patrick decides to get her an earring from the jeweller in town,Nevertheless Patrick decides to get her an earring from the jeweller in town,causal
48,"Bob is standing in the grocery store's citrus fruit aisle and is wondering what kind of fruit to buy. He is planning a barbecue, and he wants to make a sour citrus marinade for the meat.",Therefore the citrus fruit he buys is a lemon from an organic grower,Nevertheless the citrus fruit he buys is a lemon from an organic grower,causal
49,"Bob is standing in the grocery store's citrus fruit aisle and is wondering what kind of fruit to buy. He is planning a barbecue, and he wants to make a sour citrus marinade for the meat.",Nevertheless the citrus fruit he buys is an orange from an organic grower,Therefore the citrus fruit he buys is an orange from an organic grower,concessive
50,Joe wants to watch the sun either rise or set with his girlfriend. His girlfriend usually finds it difficult to get up early.,However the time of day they choose to watch the sun is a morning and they hope for good weather,Therefore the time of day they choose to watch the sun is a morning and they hope for good weather,concessive
51,Joe wants to watch the sun either rise or set with his girlfriend. His girlfriend usually finds it difficult to get up early.,Therefore the time of day they choose to watch the sun is an evening and they hope for good weather,However the time of day they choose to watch the sun is an evening and they hope for good weather,causal
52,"Towards the end of his trip to the Antarctic, Captain Smith heard a tremendous scraping noise on the left side of his ship. He quickly checked his underwater maps and saw that the sea is very deep at the current position of his vessel.",However he sent out an emergency message saying that his ship collided with a rock and raised the alarm,Therefore he sent out an emergency message saying that his ship collided with a rock and raised the alarm,concessive
53,"Towards the end of his trip to the Antarctic, Captain Smith heard a tremendous scraping noise on the left side of his ship. He quickly checked his underwater maps and saw that the sea is very deep at the current position of his vessel.",Therefore he sent out an emergency message saying that his ship collided with an iceberg and raised the alarm,However he sent out an emergency message saying that his ship collided with an iceberg and raised the alarm,causal
54,Mary is freshly in love with Peter and wonders whether she should send him the love poem she wrote for him electronically or by post. She thinks that a hand-written poem is more romantic.,Nevertheless Mary decides to send her love poem as an email and hopes that he'll reply soon,Thus Mary decides to send her love poem as an email and hopes that he'll reply soon,concessive
55,Mary is freshly in love with Peter and wonders whether she should send him the love poem she wrote for him electronically or by post. She thinks that a hand-written poem is more romantic.,Thus Mary decides to send her love poem as a letter and hopes that he'll reply soon,Nevertheless Mary decides to send her love poem as a letter and hopes that he'll reply soon,causal
56,"George and Todd are thinking about eating out, either pasta and pizza or egg rolls. Todd would love to have pasta.",Therefore the restaurant they finally choose is an Italian one very close by,However the restaurant they finally choose is an Italian one very close by,causal
57,"George and Todd are thinking about eating out, either pasta and pizza or egg rolls. Todd would love to have pasta.",However the restaurant they finally choose is a Chinese one very close by,Therefore the restaurant they finally choose is a Chinese one very close by,concessive
58,"During his visit to Italy, Andrew thinks about ordering one of these typical small but strong coffees or one with half coffee and half milk and foam. He usually appreciates coffee with milk.",Thus he orders an espresso and enjoys the flavor,Nevertheless he orders an espresso and enjoys the flavor,causal
59,"During his visit to Italy, Andrew thinks about ordering one of these typical small but strong coffees or one with half coffee and half milk and foam. He usually appreciates coffee with milk.",Nevertheless he orders a cappucino and enjoys the flavor,Thus he orders a cappucino and enjoys the flavor,concessive
